before_id,after_id,iou,status,area_before_px,area_after_px,pct_change,semantic_change,before_exg,after_exg,before_g_r,after_g_r
1,2.0,0.8756756782531738,matched_same,4791,4929,0.028804007514088917,BARE_SOIL -> BARE_SOIL,10.912335395812988,10.505782127380371,-29.13984489440918,-32.949684143066406
2,27.0,0.797258734703064,matched_same,1734,1617,-0.06747404844290658,BARE_SOIL -> BARE_SOIL,-5.244521141052246,16.42115020751953,-45.89734649658203,-24.405689239501953
3,12.0,0.5767280459403992,matched_same,3853,2355,-0.38878795743576433,VEGETATION -> VEGETATION,25.465351104736328,112.21316528320312,-10.724111557006836,64.6734619140625
4,23.0,0.6449266672134399,matched_same,8595,5790,-0.3263525305410122,VEGETATION -> VEGETATION,70.47154998779297,53.006736755371094,32.38999557495117,18.279966354370117
5,14.0,0.0,weak_match,4,1369,341.25,VEGETATION -> VEGETATION,52.5,33.16581344604492,17.5,-18.477720260620117
6,64.0,0.8416017293930054,matched_same,2514,2960,0.17740652346857597,BARE_SOIL -> VEGETATION,5.649960041046143,66.17973327636719,-34.41288757324219,23.160810470581055
7,45.0,0.6763244867324829,matched_same,3603,2764,-0.23286150430197058,BARE_SOIL -> BARE_SOIL,-0.16430751979351044,13.19500732421875,-41.783790588378906,-23.767004013061523
8,6.0,0.8619824051856995,matched_same,770,769,-0.0012987012987012987,BARE_SOIL -> BARE_SOIL,7.562337875366211,10.99219799041748,-32.54415512084961,-28.82184600830078
9,40.0,0.7425837516784668,matched_same,1061,799,-0.2469368520263902,BARE_SOIL -> VEGETATION,14.606974601745605,82.50312805175781,-25.622997283935547,40.471839904785156
10,50.0,0.5869408845901489,matched_same,7030,4391,-0.3753911806543386,VEGETATION -> VEGETATION,44.725887298583984,44.707584381103516,4.918065547943115,3.646322011947632
11,47.0,0.0,weak_match,25,6,-0.76,BARE_SOIL -> VEGETATION,17.31999969482422,76.16666412353516,-19.200000762939453,36.66666793823242
12,5.0,0.8253907561302185,matched_same,2353,2671,0.13514662133446664,BARE_SOIL -> VEGETATION,6.9736504554748535,23.736053466796875,-36.130897521972656,-21.588542938232422
13,8.0,0.6512096524238586,matched_same,1009,667,-0.3389494549058474,VEGETATION -> POSSIBLE_WATER,20.88602638244629,18.03898048400879,-20.2329044342041,-21.892053604125977
14,22.0,0.8769482970237732,matched_same,1168,1291,0.1053082191780822,BARE_SOIL -> BARE_SOIL,10.080479621887207,13.278853416442871,-32.21318435668945,-26.6568546295166
15,32.0,0.0,weak_match,6,79,12.166666666666666,VEGETATION -> BARE_SOIL,52.83333206176758,0.26582279801368713,12.833333015441895,-41.3291130065918
16,73.0,0.7957957983016968,matched_same,1536,1676,0.09114583333333333,BARE_SOIL -> BARE_SOIL,-10.266926765441895,8.491049766540527,-52.625,-32.53639602661133
17,56.0,0.0,weak_match,1332,49,-0.9632132132132132,VEGETATION -> VEGETATION,34.620121002197266,64.7959213256836,-2.0300300121307373,30.020408630371094
18,61.0,0.6849799752235413,matched_same,23085,17125,-0.2581763049599307,VEGETATION -> VEGETATION,73.04734802246094,68.03129577636719,34.842193603515625,31.224641799926758
19,92.0,0.7412775158882141,matched_same,1844,1613,-0.12527114967462039,BARE_SOIL -> BARE_SOIL,-1.2125813961029053,19.151891708374023,-44.50596618652344,-26.87662696838379
20,101.0,0.4027431309223175,possible_change,874,366,-0.5812356979405034,VEGETATION -> VEGETATION,33.4324951171875,24.890710830688477,-6.6086955070495605,-19.139345169067383
22,33.0,0.5492047667503357,matched_same,2036,1302,-0.3605108055009823,BARE_SOIL -> VEGETATION,0.8094302415847778,24.774961471557617,-42.40176773071289,-24.186635971069336
23,84.0,0.7201111912727356,matched_same,1904,2009,0.05514705882352941,VEGETATION -> BARE_SOIL,24.68172264099121,14.567944526672363,-10.904936790466309,-19.079143524169922
24,7.0,0.6986777782440186,matched_same,1289,1307,0.013964313421256789,BARE_SOIL -> BARE_SOIL,5.402637481689453,9.452945709228516,-35.258338928222656,-25.91889762878418
25,35.0,0.5271936058998108,matched_same,1143,1171,0.024496937882764653,BARE_SOIL -> BARE_SOIL,1.5179352760314941,13.171648025512695,-40.41294860839844,-29.118701934814453
26,66.0,0.0,weak_match,4,4,0.0,VEGETATION -> VEGETATION,55.0,47.75,22.5,12.5
